INFO  - 2018-07-15 14:26:47.170; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2018-07-15 14:26:47.170; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2018-07-15 14:26:47.171; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2018-07-15 14:26:47.172; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2018-07-15 14:26:47.172; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2018-07-15 14:26:47.219; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2018-07-15 14:26:47.223; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-07-15 14:26:47.223; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-07-15 14:26:47.224; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-07-15 14:26:47.224; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-07-15 14:26:47.226; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.226; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.227; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2018-07-15 14:26:47.228; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.228; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2018-07-15 14:26:47.228; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2018-07-15 14:26:47.228; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2018-07-15 14:26:47.229; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2018-07-15 14:26:47.229; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2018-07-15 14:26:47.229; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2018-07-15 14:26:47.230; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2018-07-15 14:26:47.230; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2018-07-15 14:26:47.230; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2018-07-15 14:26:47.231; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2018-07-15 14:26:47.232; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2018-07-15 14:26:47.232; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2018-07-15 14:26:47.238; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2018-07-15 14:26:47.238; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.238; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.238; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.238; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.238; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.238; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.238; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.239; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2018-07-15 14:26:47.248; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-07-15 14:26:47.250; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-07-15 14:26:47.251; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-07-15 14:26:47.251; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-07-15 14:26:47.252; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2018-07-15 14:26:47.261; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2018-07-15 14:26:47.261; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2018-07-15 14:26:47.263; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2018-07-15 14:26:47.264; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2018-07-15 14:26:47.267; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@3667f377[collection1] main
INFO  - 2018-07-15 14:26:47.272; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/conf
INFO  - 2018-07-15 14:26:47.272; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2018-07-15 14:26:47.273; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/conf
INFO  - 2018-07-15 14:26:47.276; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/conf
INFO  - 2018-07-15 14:26:47.277; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2018-07-15 14:26:47.277; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2018-07-15 14:26:47.277; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/conf
INFO  - 2018-07-15 14:26:47.278; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/conf
INFO  - 2018-07-15 14:26:47.278; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2018-07-15 14:26:47.278; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2018-07-15 14:26:47.279; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2018-07-15 14:26:47.279; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/example/solr/collection1/conf
